Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;Total Nacional;De 20 a 24 años;2022T2;1.346,90
Ambos sexos;Total Nacional;De 20 a 24 años;2022T1;1.256,00
Ambos sexos;Total Nacional;De 20 a 24 años;2021T4;1.232,10
Ambos sexos;Total Nacional;De 20 a 24 años;2021T3;1.359,80
Ambos sexos;Total Nacional;De 20 a 24 años;2021T2;1.286,00
Ambos sexos;Total Nacional;De 20 a 24 años;2021T1;1.200,30
Ambos sexos;Total Nacional;De 20 a 24 años;2020T4;1.208,20
Ambos sexos;Total Nacional;De 20 a 24 años;2020T3;1.270,20
Ambos sexos;Total Nacional;De 20 a 24 años;2020T2;1.089,50
Ambos sexos;Total Nacional;De 20 a 24 años;2020T1;1.227,20
Ambos sexos;Total Nacional;De 20 a 24 años;2019T4;1.255,40
Ambos sexos;Total Nacional;De 20 a 24 años;2019T3;1.348,90
Ambos sexos;Total Nacional;De 20 a 24 años;2019T2;1.249,90
Ambos sexos;Total Nacional;De 20 a 24 años;2019T1;1.204,70
Ambos sexos;Total Nacional;De 20 a 24 años;2018T4;1.243,50
Ambos sexos;Total Nacional;De 20 a 24 años;2018T3;1.299,00
Ambos sexos;Total Nacional;De 20 a 24 años;2018T2;1.236,50
Ambos sexos;Total Nacional;De 20 a 24 años;2018T1;1.181,30
Ambos sexos;Total Nacional;De 20 a 24 años;2017T4;1.231,20
Ambos sexos;Total Nacional;De 20 a 24 años;2017T3;1.311,90
Ambos sexos;Total Nacional;De 20 a 24 años;2017T2;1.224,70
Ambos sexos;Total Nacional;De 20 a 24 años;2017T1;1.191,70
Ambos sexos;Total Nacional;De 20 a 24 años;2016T4;1.196,10
Ambos sexos;Total Nacional;De 20 a 24 años;2016T3;1.276,20
Ambos sexos;Total Nacional;De 20 a 24 años;2016T2;1.257,80
Ambos sexos;Total Nacional;De 20 a 24 años;2016T1;1.217,20
Ambos sexos;Total Nacional;De 20 a 24 años;2015T4;1.252,20
Ambos sexos;Total Nacional;De 20 a 24 años;2015T3;1.354,20
Ambos sexos;Total Nacional;De 20 a 24 años;2015T2;1.303,30
Ambos sexos;Total Nacional;De 20 a 24 años;2015T1;1.280,30
Ambos sexos;Total Nacional;De 20 a 24 años;2014T4;1.320,80
Ambos sexos;Total Nacional;De 20 a 24 años;2014T3;1.380,80
Ambos sexos;Total Nacional;De 20 a 24 años;2014T2;1.339,20
Ambos sexos;Total Nacional;De 20 a 24 años;2014T1;1.346,90
Ambos sexos;Total Nacional;De 20 a 24 años;2013T4;1.386,40
Ambos sexos;Total Nacional;De 20 a 24 años;2013T3;1.453,40
Ambos sexos;Total Nacional;De 20 a 24 años;2013T2;1.425,20
Ambos sexos;Total Nacional;De 20 a 24 años;2013T1;1.449,50
Ambos sexos;Total Nacional;De 20 a 24 años;2012T4;1.461,60
Ambos sexos;Total Nacional;De 20 a 24 años;2012T3;1.549,60
Ambos sexos;Total Nacional;De 20 a 24 años;2012T2;1.501,60
Ambos sexos;Total Nacional;De 20 a 24 años;2012T1;1.499,00
Ambos sexos;Total Nacional;De 20 a 24 años;2011T4;1.542,90
Ambos sexos;Total Nacional;De 20 a 24 años;2011T3;1.633,40
Ambos sexos;Total Nacional;De 20 a 24 años;2011T2;1.592,50
Ambos sexos;Total Nacional;De 20 a 24 años;2011T1;1.595,40
Ambos sexos;Total Nacional;De 20 a 24 años;2010T4;1.637,30
Ambos sexos;Total Nacional;De 20 a 24 años;2010T3;1.724,40
Ambos sexos;Total Nacional;De 20 a 24 años;2010T2;1.677,10
Ambos sexos;Total Nacional;De 20 a 24 años;2010T1;1.671,50
